Area,Topic,Type,Title,Text,Link
1,Area 1,Description,,"This area focuses on theoretical and empirical research topics that aim to establish the foundation of VIS as a scientific subject. Theoretical work which aims to contribute to fundamental questions that relate to how we understand, assess, categorize, or formalize visualizations and/or visual analytics work. Empirical research aims to contribute research methodologies or concrete results of assessments of a visualization / visual analytics contribution or its context of use.",
1,Concept Formulation,Description,,"surveys with organization, synthesis, and reflection; taxonomies and ontologies; guidelines and principles; lexica, syntaxes (grammars), semantics, pragmatics of visualization; and information security, privacy, ethics and professionalism in visualization.",
1,Model Development,Description,,"conceptual models and simulation models for describing aspects of visualization processes (e.g., color perception, knowledge acquisition, collaborative decision making, etc.).",
1,Mathematical Formalization,Description,,"mathematical frameworks, quality metrics, theorems (i.e., mathematically-defined causal relations in VIS).",
1,Research Methodology,Description,,"general methodologies for conducting VIS research, e.g., typology, grounded theory, empirical studies, design studies, task analysis, user engagement, qualitative and quantitative research, etc.",
1,Empirical Studies,Description,,"controlled (e.g., typical laboratory experiments), semi-controlled (e.g., typical crowdsourcing studies), and uncontrolled studies (e.g., small group discussions, think aloud exercises, field observation, ethnographic studies, etc.), which may be in the forms of qualitative or quantitative research and which may be further categorized according to their objectives as follows: Empirical Studies for Evaluation: studies for assessing the effectiveness and usability of specific VIS techniques, tools, systems, and workflows, for collecting lessons learned from failures, and for establishing the best practice. Empirical Studies for Observation, Data Acquisition, and Hypothesis Formulation: studies for observing phenomena in visualization processes, stimulating hypothesis formulation, and collecting data to inform computational models and quality metrics. Empirical Studies for Understanding and Theory Validation: studies for understanding the human factors in visualization processes, including perceptual factors (e.g., visual and nonvisual sensory processes, perception, attention, etc.) and cognitive factors (e.g., memory, learning, reasoning, decision-making, problem-solving, knowledge, emotion, etc.)",
1,Concept Formulation,Paper,What Do We Talk About When We Talk About Dashboards?,"Dashboards are one of the most common use cases for data visualization, and their design and contexts of use areconsiderably different from exploratory visualization tools. In this paper, we look at the broad scope of how dashboards are usedin practice through an analysis of dashboard examples and documentation about their use. We systematically review the literaturesurrounding dashboard use, construct a design space for dashboards, and identify major dashboard types. We characterize dashboardsby their design goals, levels of interaction, and the practices around them. Our framework and literature review suggest a number offruitful research directions to better support dashboard design, implementation, and use.",https://alper.datav.is/assets/publications/dashboards/dashboards-preprint.pdf
1,Model Development,Paper,A Model of Spatial Directness in Interactive Visualization.,"We discuss the concept of directness in the context of spatial interaction with visualization. In particular, we propose amodel that allows practitioners to analyze and describe the spatial directness of interaction techniques, ultimately to be able to betterunderstand interaction issues that may affect usability. To reach these goals, we distinguish between different types of directness.Each type of directness depends on a particular mapping between different spaces, for which we consider the data space, thevisualization space, the output space, the user space, the manipulation space, and the interaction space. In addition to the introductionof the model itself, we also show how to apply it to several real-world interaction scenarios in visualization, and thus discuss theresulting types of spatial directness, without recommending either more direct or more indirect interaction techniques. In particular, wewill demonstrate descriptive and evaluative usage of the proposed model, and also briefly discuss its generative usage.",https://ieeexplore-ieee-org.myaccess.library.utoronto.ca/stamp/stamp.jsp?tp=&arnumber=8395068
1,Mathematical Formalization,Paper,An Algebraic Process for Visualization Design,"We present a model of visualization design based on algebraic considerations of the visualization process. The modelhelps characterize visual encodings, guide their design, evaluate their effectiveness, and highlight their shortcomings. The model hasthree components: the underlying mathematical structure of the data or object being visualized, the concrete representation of the datain a computer, and (to the extent possible) a mathematical description of how humans perceive the visualization. Because we believethe value of our model lies in its practical application, we propose three general principles for good visualization design. We workthrough a collection of examples where our model helps explain the known properties of existing visualizations methods, both goodand not-so-good, as well as suggesting some novel methods. We describe how to use the model alongside experimental user studies,since it can help frame experiment outcomes in an actionable manner. Exploring the implications and applications of our model and itsdesign principles should provide many directions for future visualization research.",http://vis.cs.ucdavis.edu/vis2014papers/TVCG/papers/2181_20tvcg12-kindlmann-2346325.pdf
1,Research Methodology,Paper,The elicitation interview technique: capturing people’s experiences of data representations,"Information visualization has become a popular tool to facilitate sense-making, discovery and communication in a large range of professional and casual contexts. However, evaluating visualizations is still a challenge. In particular, we lack techniques to help understand how visualizations are experienced by people. In this paper we discuss the potential of the Elicitation Interview technique to be applied in the context of visualization. The Elicitation Interview is a method for gathering detailed and precise accounts of human experience. We argue that it can be applied to help understand how people experience and interpret visualizations as part of exploration and data analysis processes. We describe the key characteristics of this interview technique and present a study we conducted to exemplify how it can be applied to evaluate data representations. Our study illustrates the types of insights this technique can bring to the fore, for example, evidence for deep interpretation of visual representations and the formation of interpretations and stories beyond the represented data. We discuss general visualization evaluation scenarios where the Elicitation Interview technique may be beneficial and specify what needs to be considered when applying this technique in a visualization context specifically.",https://ieeexplore-ieee-org.myaccess.library.utoronto.ca/document/7369991
1,Empirical Studies,Paper,Hairy Slices: Evaluating the Perceptual Effectiveness of Cutting Plane Glyphs for 3D Vector Fields,"Three-dimensional vector fields are common datasets throughout the sciences. Visualizing these fields is inherently difficult due to issues such as visual clutter and self-occlusion. Cutting planes are often used to overcome these issues by presenting more manageable slices of data. The existing literature provides many techniques for visualizing the flow through these cutting planes; however, there is a lack of empirical studies focused on the underlying perceptual cues that make popular techniques successful. This paper presents a quantitative human factors study that evaluates static monoscopic depth and orientation cues in the context of cutting plane glyph designs for exploring and analyzing 3D flow fields. The goal of the study was to ascertain the relative effectiveness of various techniques for portraying the direction of flow through a cutting plane at a given point, and to identify the visual cues and combinations of cues involved, and how they contribute to accurate performance. It was found that increasing the dimensionality of line-based glyphs into tubular structures enhances their ability to convey orientation through shading, and that increasing their diameter intensifies this effect. These tube-based glyphs were also less sensitive to visual clutter issues at higher densities. Adding shadows to lines was also found to increase perception of flow direction. Implications of the experimental results are discussed and extrapolated into a number of guidelines for designing more perceptually effective glyphs for 3D vector field visualizations.",https://europepmc.org/article/MED/27875212
